,EV1,EV2,EV3,EV4,EV5
PI534046,-0.028446345,0.015897345,-0.11666068,-0.05000654,-0.005484461
PI534138,-0.024122603,-0.017827657,-0.044754433,-0.058655025,-0.058659008
PI534139,0.001592686,-0.016714111,0.021038271,-0.050330638,-0.014460064
PI540816,-0.030952937,0.008066667,0.097404649,0.003272424,0.02268521
PI576366,-0.003569931,-0.017455106,0.018306912,0.022273994,0.035420246
PI597961,-0.022575344,0.038762601,-0.000988823,0.02574783,-0.012337035
PI597967,-0.089112212,0.027403167,0.062852383,0.013653452,0.053474312
PI629059,0.041910925,0.056264262,0.031267993,0.035404995,-0.008433246
PI642791,-0.021655676,0.042225783,0.098177218,0.031049211,0.027381108
PI642793,0.028001624,0.042885706,0.013431803,0.035965502,-0.018250935
PI655986,0.035558934,-0.019649344,0.074640858,0.029331935,-0.087073487
PI655988,0.104099186,0.087871564,0.02760039,0.037149303,-0.037610229
PI655995,0.023027913,-0.068468812,0.022291291,0.009582936,0.083448533
PI656003,0.088772706,0.042381589,0.001851909,0.021012671,0.037091871
PI656005,0.062806817,0.049972633,-0.030008009,0.039416869,-0.095918257
PI656018,0.094061444,0.05060295,0.027951924,0.041630254,-0.055894115
PI656023,0.085946038,0.067536529,-0.006603306,0.004285614,0.034598392
PI656043,-0.09358187,0.04156819,0.084100013,0.031369518,0.065239059
PI656044,-0.0730795,0.046314622,0.100351762,0.042814051,0.063545971
PI656051,-0.062567493,0.030194857,0.087706283,0.008668675,0.043981562
PI656056,-0.072248842,0.042309113,0.125560486,0.045992042,0.079126172
PI656064,0.022451693,-0.095648177,-0.006906906,0.070886726,0.03459383
PI656072,0.023727257,-0.090873461,-0.010560915,0.05990399,0.044309019
PI656097,0.030911074,-0.095252934,-0.006131913,0.082326397,0.048336032
PI276837,-0.045132934,0.043482805,0.137768423,0.0504007,0.070617558
PI533792,-0.01544598,0.002620131,0.08687758,-0.067998838,0.012624739
PI576399,0.009480111,0.006008169,-0.031814988,-0.061615375,0.045720027
PI576401,0.019250283,-0.066413419,0.029145426,0.060779695,0.035778125
