Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
10	SORBI_3010G170000	TG_58_3_,TG_58_4_,TG_58_5_,TG_60_4_,TG_60_5_	408,357,443,439,467	SNP_50088993,SNP_50088993,SNP_50088993,SNP_50088993,SNP_50088993	2.942922e-09,5.073987e-08,1.584963e-09,9.221121e-11,1.601858e-10	5
1	SORBI_3001G021300	TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	3,3,3,3	SNP_1758029,SNP_1758029,SNP_1758029,SNP_1758029	2.998895e-13,5.883525e-09,1.341847e-09,9.04282e-08	4
1	SORBI_3001G021400	TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	8,6,7,4	SNP_1758029,SNP_1758029,SNP_1758029,SNP_1758029	2.998895e-13,5.883525e-09,1.341847e-09,9.04282e-08	4
1	SORBI_3001G041900	TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	84,84,82,85	SNP_3113333,SNP_3113333,SNP_3113333,SNP_3113333	4.174218e-08,1.195313e-08,5.765127e-09,8.405397e-09	4
1	SORBI_3001G042000	TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	82,82,80,83	SNP_3118255,SNP_3118255,SNP_3118255,SNP_3118255	4.174218e-08,1.195313e-08,5.765127e-09,8.405397e-09	4
1	SORBI_3001G042100	TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	78,78,76,79	SNP_3123744,SNP_3123744,SNP_3123744,SNP_3123744	4.174218e-08,1.195313e-08,5.765127e-09,8.405397e-09	4
1	SORBI_3001G042901	TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	18,29,19,19	SNP_3209810,SNP_3209810,SNP_3209810,SNP_3209810	5.02489e-08,4.757294e-08,7.912919e-09,2.198072e-08	4
1	SORBI_3001G043000	TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	17,30,18,18	SNP_3212744,SNP_3212744,SNP_3212744,SNP_3212744	5.02489e-08,4.757294e-08,7.912919e-09,2.198072e-08	4
1	SORBI_3001G043100	TG_54_6_,TG_54_7_,TG_56_4_,TG_56_6_	11,25,12,12	SNP_3215964,SNP_3215964,SNP_3215964,SNP_3215964	5.02489e-08,4.757294e-08,7.912919e-09,2.198072e-08	4
1	SORBI_3001G056400	AEG_o_30_2_,PC_38_2_,TG_52_6_,TG_56_5_	29,19,16,20	SNP_4227142,SNP_4225502,SNP_4228366,SNP_4228366	1.991706e-08,1.714625e-09,2.542874e-08,1.609532e-10	4
1	SORBI_3001G056500	AEG_o_30_2_,PC_38_2_,TG_52_6_,TG_56_5_	16,7,11,7	SNP_4234673,SNP_4240231,SNP_4240891,SNP_4237788	1.991706e-08,1.714625e-09,2.542874e-08,1.609532e-10	4
1	SORBI_3001G096800	FA_22_1_,PS_36_2_,TG_50_4_,TG_50_5_	4,3,79,89	SNP_7431729,SNP_7430742,SNP_7429890,SNP_7429890	4.078161e-08,6.457994e-09,2.413109e-08,4.606768e-08	4
1	SORBI_3001G096833	FA_22_1_,PS_36_2_,TG_50_4_,TG_50_5_	3,2,76,85	SNP_7434491,SNP_7434999,SNP_7431978,SNP_7431957	4.078161e-08,6.457994e-09,2.413109e-08,4.606768e-08	4
1	SORBI_3001G096866	FA_22_1_,PS_36_2_,TG_50_4_,TG_50_5_	3,2,74,82	SNP_7434491,SNP_7434999,SNP_7432254,SNP_7432489	4.078161e-08,6.457994e-09,2.413109e-08,4.606768e-08	4
1	SORBI_3001G096900	FA_22_1_,PS_36_2_,TG_50_4_,TG_50_5_	1,1,70,74	SNP_7452840,SNP_7452840,SNP_7436571,SNP_7436571	4.078161e-08,6.457994e-09,2.413109e-08,4.606768e-08	4
1	SORBI_3001G097000	FA_22_1_,PS_36_2_,TG_50_4_,TG_50_5_	1,1,14,11	SNP_7452840,SNP_7452840,SNP_7445851,SNP_7445851	4.078161e-08,6.457994e-09,2.413109e-08,4.606768e-08	4
1	SORBI_3001G097100	FA_22_1_,PS_36_2_,TG_50_4_,TG_50_5_	1,1,13,8	SNP_7452840,SNP_7452840,SNP_7448544,SNP_7448544	4.078161e-08,6.457994e-09,2.413109e-08,4.606768e-08	4
1	SORBI_3001G219400	PC_38_4_,TG_46_3_,TG_48_4_,TG_56_5_	25,28,38,42	SNP_20553434,SNP_20553434,SNP_20553434,SNP_20564444	4.048914e-09,6.487645e-09,1.072258e-10,5.917071e-08	4
2	SORBI_3002G114700	TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	57,64,61,66	SNP_13987486,SNP_13987486,SNP_13987552,SNP_13987552	3.601268e-10,6.94832e-08,6.186118e-08,2.36768e-08	4
2	SORBI_3002G114800	TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	84,93,87,91	SNP_13991867,SNP_13991865,SNP_13991865,SNP_13991865	3.601268e-10,6.94832e-08,6.186118e-08,2.36768e-08	4
2	SORBI_3002G116600	TG_56_5_,TG_58_5_,TG_60_5_,TG_60_6_	173,96,156,154	SNP_14425579,SNP_14425579,SNP_14425579,SNP_14425579	8.762981e-08,6.741635e-08,2.154633e-08,7.654346e-09	4
2	SORBI_3002G116700	TG_56_5_,TG_58_5_,TG_60_5_,TG_60_6_	146,75,129,122	SNP_14435340,SNP_14435340,SNP_14435340,SNP_14435340	8.762981e-08,6.741635e-08,2.154633e-08,7.654346e-09	4
2	SORBI_3002G116800	TG_56_5_,TG_58_5_,TG_60_5_,TG_60_6_	160,82,139,134	SNP_14436330,SNP_14436330,SNP_14436330,SNP_14436330	2.865865e-08,7.601639e-09,1.858166e-09,5.814135e-09	4
3	SORBI_3003G157600	FA_18_4_,FA_22_0__amide,SQDG_32_0_,TG_56_8_	7,13,193,16	SNP_17786474,SNP_17786544,SNP_17791057,SNP_17786488	3.146738e-10,1.358779e-10,7.528225e-10,1.948271e-08	4
3	SORBI_3003G173400	DGDG_36_5_,SQDG_34_2_,SQDG_36_4_,SQDG_36_5_	16,15,12,14	SNP_38777308,SNP_38777308,SNP_38777308,SNP_38777308	1.815082e-09,8.099076e-11,1.43513e-08,3.298393e-11	4
3	SORBI_3003G343700	DGDG_36_5_,FA_22_1_,SQDG_34_2_,SQDG_36_5_	13,34,5,11	SNP_66530464,SNP_66539034,SNP_66530464,SNP_66530464	7.708626e-13,2.243761e-09,1.652281e-08,3.584985e-13	4
