Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
10	SORBI_3010G089100	PC(14:0_18:0);PC(16:0_16:0);PC(18:2_20:4)	2;3;28	SNP_7628706;SNP_7627957;SNP_7607786	2.035051e-08;6.273705e-08;1.406805e-08	3
1	SORBI_3001G000900	PC(18:1_20:4);PC(18:2_20:4)	49;38	SNP_67649;SNP_67649	9.938453e-08;4.327952e-09	2
1	SORBI_3001G001000	PC(18:1_20:4);PC(18:2_20:4)	43;33	SNP_69694;SNP_69694	9.938453e-08;4.327952e-09	2
1	SORBI_3001G055400	PC(18:1_20:4);PC(18:2_20:4)	14;28	SNP_4135502;SNP_4135502	3.408022e-09;1.270089e-13	2
1	SORBI_3001G055600	PC(18:1_20:4);PC(18:2_20:4)	7;18	SNP_4142688;SNP_4141367	3.408022e-09;1.270089e-13	2
1	SORBI_3001G055700	PC(18:1_20:4);PC(18:2_20:4)	22;40	SNP_4142688;SNP_4142647	3.408022e-09;1.270089e-13	2
1	SORBI_3001G173700	PC(16:1_16:1);PC(18:2_20:4)	51;18	SNP_14593826;SNP_14593826	5.971427e-08;5.628635e-09	2
1	SORBI_3001G194401	PC(16:0_22:6);PC(18:3_0:0)	62;60	SNP_17379453;SNP_17379453	8.961614e-09;1.438821e-08	2
1	SORBI_3001G219400	PC(18:0_20:4);PC(18:2_20:4)	25;27	SNP_20553434;SNP_20553434	4.048914e-09;2.192151e-10	2
1	SORBI_3001G231100	PC(16:0_22:6);PC(18:3_0:0)	76;80	SNP_22319471;SNP_22319471	2.121935e-08;3.26504e-08	2
1	SORBI_3001G231200	PC(16:0_22:6);PC(18:3_0:0)	130;135	SNP_22327332;SNP_22327332	2.121935e-08;3.26504e-08	2
1	SORBI_3001G231300	PC(16:0_22:6);PC(18:3_0:0)	133;138	SNP_22327786;SNP_22327786	2.121935e-08;3.26504e-08	2
1	SORBI_3001G231350	PC(16:0_22:6);PC(18:3_0:0)	134;139	SNP_22327786;SNP_22327786	2.121935e-08;3.26504e-08	2
1	SORBI_3001G235200	PC(18:1_20:4);PC(18:2_20:4)	121;123	SNP_23494847;SNP_23494847	6.255369e-08;6.475358e-09	2
1	SORBI_3001G259600	PC(14:0_18:3);PC(16:1_16:1)	50;22	SNP_31324371;SNP_31324371	6.773877e-08;5.041017e-08	2
1	SORBI_3001G259700	PC(14:0_18:3);PC(16:1_16:1)	34;23	SNP_31332584;SNP_31333425	6.99301e-08;5.041017e-08	2
